"说话人","台词","编码"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"
"/","/","/"